name,email,password,role
"Kristine Mante Jr.","elody_bogan@yahoo.com","123456","club"
"Vicky Parisian","general.littel@yahoo.com","123456","club"
"Katrina Stracke","broderick_murazik@hotmail.com","123456","club"
"Beulah O'Kon","annie88@gmail.com","123456","club"
"Darryl Rice","oma33@hotmail.com","123456","club"
"Mrs. Margaret Kris","edyth.botsford3@gmail.com","123456","user"
"Jim Greenholt","cyrus.murray@gmail.com","123456","user"
"Angela Von","christopher_gottlieb@gmail.com","123456","user"
"Orlando Schmidt","abigale0@gmail.com","123456","user"
"Dominic Fritsch","rahul_thiel@gmail.com","123456","user"
"Gwen Green","tressie.crooks59@yahoo.com","123456","user"
"Gwen Hamill-MacGyver","monroe38@hotmail.com","123456","user"
"Allison Feil","dulce_gislason69@hotmail.com","123456","user"
"Miss Nichole Koelpin","rosalyn.smith@gmail.com","123456","user"
"Ms. Mindy Stamm V","ludwig.becker7@hotmail.com","123456","user"
"Owen Feil III","kamille95@yahoo.com","123456","user"
"Armando Wyman","shana64@hotmail.com","123456","user"
"Janice Bins","eliane.reichel@hotmail.com","123456","user"
"Sherry Wehner","jordane48@hotmail.com","123456","user"
"Chelsea Lesch","sven.wolf90@yahoo.com","123456","user"
"Lucy Kuhic V","aryanna37@gmail.com","123456","user"
"Tommie Brekke","carlee.halvorson@hotmail.com","123456","user"
"Emilio Kshlerin","gilda89@hotmail.com","123456","user"
"Laverne Nolan-Maggio","aimee.beer@yahoo.com","123456","user"
"Vicky Kemmer","rodolfo0@yahoo.com","123456","user"
"June Schmitt","julius_smith@hotmail.com","123456","user"
"April Cremin Jr.","torey.dickens@gmail.com","123456","user"
"Ismael Wiza V","freddy_boehm23@gmail.com","123456","user"
"Donna Bechtelar","consuelo99@yahoo.com","123456","user"
"Domingo O'Conner","jabari.runte90@gmail.com","123456","user"
