userEmail,pistaNombre,fecha,hora,duracion
luis@sportify.com,Pista Central,2025-11-20,09:00,1
maria@sportify.com,Pista 2,2025-11-21,10:00,2
sofia@sportify.com,Pista Norte,2025-11-22,18:00,1
elena@sportify.com,Pista Sur,2025-11-23,19:00,1
laura@sportify.com,Pista Central,2025-11-24,08:00,1
carmen@sportify.com,Pista Tenis 1,2025-11-25,17:00,2
patricia@sportify.com,Pista Este,2025-11-26,20:00,1
lucia@sportify.com,Pista Málaga,2025-11-27,17:00,2
natalia@sportify.com,Pista Granada,2025-11-28,18:00,1
valeria@sportify.com,Pista Alicante,2025-11-29,19:00,1
irene@sportify.com,Pista Murcia,2025-11-30,10:00,2
clara@sportify.com,Pista Zaragoza,2025-12-01,11:00,1
